Sentence_ID,Original_Sentence,Tokens,Tokens_No_Stop,Stems,Lemmas,POS_Tags
1,The movie was fantastic and I loved every part of it about Egypt,"['The', 'movie', 'was', 'fantastic', 'and', 'I', 'loved', 'every', 'part', 'of', 'it', 'about', 'Egypt']","['movie', 'fantastic', 'loved', 'every', 'part', 'Egypt']","['movi', 'fantast', 'love', 'everi', 'part', 'egypt']","['movie', 'fantastic', 'loved', 'every', 'part', 'Egypt']","[('movie', 'NN'), ('fantastic', 'JJ'), ('loved', 'VBN'), ('every', 'DT'), ('part', 'NN'), ('Egypt', 'NNP')]"
2,"I hated the film, it was the worst I have ever seen","['I', 'hated', 'the', 'film', ',', 'it', 'was', 'the', 'worst', 'I', 'have', 'ever', 'seen']","['hated', 'film', ',', 'worst', 'ever', 'seen']","['hate', 'film', ',', 'worst', 'ever', 'seen']","['hated', 'film', ',', 'worst', 'ever', 'seen']","[('hated', 'VBN'), ('film', 'NN'), (',', ','), ('worst', 'WP'), ('ever', 'RB'), ('seen', 'VBN')]"
3,The storyline was boring but the acting was brilliant,"['The', 'storyline', 'was', 'boring', 'but', 'the', 'acting', 'was', 'brilliant']","['storyline', 'boring', 'acting', 'brilliant']","['storylin', 'bore', 'act', 'brilliant']","['storyline', 'boring', 'acting', 'brilliant']","[('storyline', 'NN'), ('boring', 'VBG'), ('acting', 'VBG'), ('brilliant', 'NN')]"
4,An amazing movie with a great plot and incredible performances,"['An', 'amazing', 'movie', 'with', 'a', 'great', 'plot', 'and', 'incredible', 'performances']","['amazing', 'movie', 'great', 'plot', 'incredible', 'performances']","['amaz', 'movi', 'great', 'plot', 'incred', 'perform']","['amazing', 'movie', 'great', 'plot', 'incredible', 'performance']","[('amazing', 'JJ'), ('movie', 'NN'), ('great', 'JJ'), ('plot', 'NN'), ('incredible', 'JJ'), ('performances', 'NNS')]"
5,"Egypt movie, I regret wasting my time on it","['Egypt', 'movie', ',', 'I', 'regret', 'wasting', 'my', 'time', 'on', 'it']","['Egypt', 'movie', ',', 'regret', 'wasting', 'time']","['egypt', 'movi', ',', 'regret', 'wast', 'time']","['Egypt', 'movie', ',', 'regret', 'wasting', 'time']","[('Egypt', 'NNP'), ('movie', 'NN'), (',', ','), ('regret', 'VB'), ('wasting', 'NN'), ('time', 'NN')]"
6,The actors did a great job but the story lacked depth,"['The', 'actors', 'did', 'a', 'great', 'job', 'but', 'the', 'story', 'lacked', 'depth']","['actors', 'great', 'job', 'story', 'lacked', 'depth']","['actor', 'great', 'job', 'stori', 'lack', 'depth']","['actor', 'great', 'job', 'story', 'lacked', 'depth']","[('actors', 'NNS'), ('great', 'JJ'), ('job', 'NN'), ('story', 'NN'), ('lacked', 'VBD'), ('depth', 'NN')]"
7,"One of the best films I have seen in a long time, highly recommend it","['One', 'of', 'the', 'best', 'films', 'I', 'have', 'seen', 'in', 'a', 'long', 'time', ',', 'highly', 'recommend', 'it']","['One', 'best', 'films', 'seen', 'long', 'time', ',', 'highly', 'recommend']","['one', 'best', 'film', 'seen', 'long', 'time', ',', 'highli', 'recommend']","['One', 'best', 'film', 'seen', 'long', 'time', ',', 'highly', 'recommend']","[('One', 'CD'), ('best', 'JJS'), ('films', 'NNS'), ('seen', 'VBN'), ('long', 'JJ'), ('time', 'NN'), (',', ','), ('highly', 'RB'), ('recommend', 'VB')]"
8,"This film was just okay, not too bad but not great either","['This', 'film', 'was', 'just', 'okay', ',', 'not', 'too', 'bad', 'but', 'not', 'great', 'either']","['film', 'okay', ',', 'bad', 'great', 'either']","['film', 'okay', ',', 'bad', 'great', 'either']","['film', 'okay', ',', 'bad', 'great', 'either']","[('film', 'NN'), ('okay', 'NN'), (',', ','), ('bad', 'JJ'), ('great', 'JJ'), ('either', 'CC')]"
9,"Absolutely loved the movie, fantastic plot and wonderful cast","['Absolutely', 'loved', 'the', 'movie', ',', 'fantastic', 'plot', 'and', 'wonderful', 'cast']","['Absolutely', 'loved', 'movie', ',', 'fantastic', 'plot', 'wonderful', 'cast']","['absolut', 'love', 'movi', ',', 'fantast', 'plot', 'wonder', 'cast']","['Absolutely', 'loved', 'movie', ',', 'fantastic', 'plot', 'wonderful', 'cast']","[('Absolutely', 'RB'), ('loved', 'JJ'), ('movie', 'NN'), (',', ','), ('fantastic', 'JJ'), ('plot', 'NN'), ('wonderful', 'JJ'), ('cast', 'NN')]"
10,"The movie was disappointing, it did not live up to the hype","['The', 'movie', 'was', 'disappointing', ',', 'it', 'did', 'not', 'live', 'up', 'to', 'the', 'hype']","['movie', 'disappointing', ',', 'live', 'hype']","['movi', 'disappoint', ',', 'live', 'hype']","['movie', 'disappointing', ',', 'live', 'hype']","[('movie', 'NN'), ('disappointing', 'NN'), (',', ','), ('live', 'VBP'), ('hype', 'NN')]"
